"timestamp_utc","sample","node","cpu_percent","memory_usage","network_io","block_io"
"2026-09-17T15:04:39.8413236+00:00","48","r-scylla2","3.79%","515.6MiB / 9.711GiB","182MB / 147MB","54.5MB / 895MB"
"2026-09-17T15:04:39.8413236+00:00","48","r-scylla3","3.20%","517.1MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:42.8585632+00:00","49","r-scylla1","1.92%","586MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:42.8585632+00:00","49","r-scylla2","2.68%","515.6MiB / 9.711GiB","182MB / 147MB","54.5MB / 895MB"
"2026-09-17T15:04:42.8585632+00:00","49","r-scylla3","3.04%","517.1MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:46.0321493+00:00","50","r-scylla1","3.03%","586MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:46.0321493+00:00","50","r-scylla2","3.34%","515.3MiB / 9.711GiB","182MB / 147MB","54.5MB / 895MB"
"2026-09-17T15:04:46.0321493+00:00","50","r-scylla3","2.82%","517.4MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:49.1762545+00:00","51","r-scylla1","3.18%","586.3MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:49.1762545+00:00","51","r-scylla2","2.78%","515.3MiB / 9.711GiB","182MB / 147MB","54.5MB / 895MB"
"2026-09-17T15:04:49.1762545+00:00","51","r-scylla3","2.89%","517.3MiB / 9.711GiB","181MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:52.2260805+00:00","52","r-scylla1","3.94%","586.3MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:52.2260805+00:00","52","r-scylla2","3.60%","515.3MiB / 9.711GiB","182MB / 147MB","54.5MB / 895MB"
"2026-09-17T15:04:52.2260805+00:00","52","r-scylla3","2.64%","517.3MiB / 9.711GiB","182MB / 147MB","41.9MB / 894MB"
"2026-09-17T15:04:55.3473331+00:00","53","r-scylla1","1.56%","586.3MiB / 9.711GiB","181MB / 148MB","363MB / 896MB"
"2026-09-17T15:04:55.3473331+00:00","53","r-scylla2","1.74%","515.6MiB / 9.711GiB","182MB / 147MB","54.5MB / 895MB"
"2026-09-17T15:04:55.3473331+00:00","53","r-scylla3","2.33%","517.3MiB / 9.711GiB","182MB / 147MB","41.9MB / 894MB"
