sample,start_utc,end_utc,phase,event_relative_s,address,token_rows,up_normal_rows,owns_values,ownership_sha256,source_file
4964,2026-09-22T15:53:35.7766267+00:00,2026-09-22T15:53:36.2986022+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004964.txt
4964,2026-09-22T15:53:35.7766267+00:00,2026-09-22T15:53:36.2986022+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004964.txt
4965,2026-09-22T15:53:37.8495376+00:00,2026-09-22T15:53:38.3458347+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004965.txt
4965,2026-09-22T15:53:37.8495376+00:00,2026-09-22T15:53:38.3458347+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004965.txt
4965,2026-09-22T15:53:37.8495376+00:00,2026-09-22T15:53:38.3458347+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004965.txt
4966,2026-09-22T15:53:39.9293029+00:00,2026-09-22T15:53:40.4982853+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004966.txt
4966,2026-09-22T15:53:39.9293029+00:00,2026-09-22T15:53:40.4982853+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004966.txt
4966,2026-09-22T15:53:39.9293029+00:00,2026-09-22T15:53:40.4982853+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004966.txt
4967,2026-09-22T15:53:42.0024198+00:00,2026-09-22T15:53:42.4709742+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004967.txt
4967,2026-09-22T15:53:42.0024198+00:00,2026-09-22T15:53:42.4709742+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004967.txt
4967,2026-09-22T15:53:42.0024198+00:00,2026-09-22T15:53:42.4709742+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004967.txt
4968,2026-09-22T15:53:44.0601822+00:00,2026-09-22T15:53:44.5472513+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004968.txt
4968,2026-09-22T15:53:44.0601822+00:00,2026-09-22T15:53:44.5472513+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004968.txt
4968,2026-09-22T15:53:44.0601822+00:00,2026-09-22T15:53:44.5472513+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004968.txt
4969,2026-09-22T15:53:46.1179082+00:00,2026-09-22T15:53:46.6275055+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004969.txt
4969,2026-09-22T15:53:46.1179082+00:00,2026-09-22T15:53:46.6275055+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004969.txt
4969,2026-09-22T15:53:46.1179082+00:00,2026-09-22T15:53:46.6275055+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004969.txt
4970,2026-09-22T15:53:48.1699643+00:00,2026-09-22T15:53:48.6639697+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004970.txt
4970,2026-09-22T15:53:48.1699643+00:00,2026-09-22T15:53:48.6639697+00:00,,,172.29.0.12,256,256,63.78%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004970.txt
4970,2026-09-22T15:53:48.1699643+00:00,2026-09-22T15:53:48.6639697+00:00,,,172.29.0.13,256,256,70.74%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004970.txt
4971,2026-09-22T15:53:50.2616219+00:00,2026-09-22T15:53:50.6855887+00:00,,,172.29.0.11,256,256,65.48%,f9ca306ce55b0a73b3d6788f64242d3d0dfb9cb98e230ba85448ffc3536dcae8,ring_004971.txt
