treatment,phase,event,timestamp_utc,event_relative_s,sample,node,node_count,direction,shards,counter_bytes,increment_bytes,counter_reset
tablets,baseline,,2026-09-21T17:19:24.369381+00:00,,876,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:24.369381+00:00,,876,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:24.369381+00:00,,876,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:24.369381+00:00,,876,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:24.369381+00:00,,876,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:25.369542+00:00,,877,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:25.369542+00:00,,877,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:25.369542+00:00,,877,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:25.369542+00:00,,877,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:25.369542+00:00,,877,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:25.369542+00:00,,877,r-scylla3,3,outgoing,2,46550,0,False
tablets,baseline,,2026-09-21T17:19:26.369744+00:00,,878,r-scylla1,3,incoming,2,0,0,False
tablets,baseline,,2026-09-21T17:19:26.369744+00:00,,878,r-scylla1,3,outgoing,2,369218,0,False
tablets,baseline,,2026-09-21T17:19:26.369744+00:00,,878,r-scylla2,3,incoming,2,277094,0,False
tablets,baseline,,2026-09-21T17:19:26.369744+00:00,,878,r-scylla2,3,outgoing,2,0,0,False
tablets,baseline,,2026-09-21T17:19:26.369744+00:00,,878,r-scylla3,3,incoming,2,138674,0,False
tablets,baseline,,2026-09-21T17:19:26.369744+00:00,,878,r-scylla3,3,outgoing,2,46550,0,False
