"timestamp_utc","sample","node","cpu_percent","memory_usage","network_io","block_io"
"2026-09-17T20:25:27.8278615+00:00","35","r-scylla3","5.24%","547.9MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:31.0663053+00:00","36","r-scylla1","5.41%","561.2MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:31.0663053+00:00","36","r-scylla2","5.05%","547MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:31.0663053+00:00","36","r-scylla3","4.79%","547.6MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:34.1743477+00:00","37","r-scylla1","2.98%","561.1MiB / 9.711GiB","155MB / 120MB","354MB / 1.08GB"
"2026-09-17T20:25:34.1743477+00:00","37","r-scylla2","4.79%","546.5MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:34.1743477+00:00","37","r-scylla3","4.01%","547.9MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:37.4976011+00:00","38","r-scylla1","4.60%","561.6MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:25:37.4976011+00:00","38","r-scylla2","4.72%","546.4MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:37.4976011+00:00","38","r-scylla3","4.28%","547.6MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:40.7885304+00:00","39","r-scylla1","4.07%","561.1MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:25:40.7885304+00:00","39","r-scylla2","4.29%","546.4MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:40.7885304+00:00","39","r-scylla3","4.65%","547.6MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:43.8410254+00:00","40","r-scylla1","3.25%","561.1MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:25:43.8410254+00:00","40","r-scylla2","5.14%","546.4MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:43.8410254+00:00","40","r-scylla3","3.18%","547.6MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:47.0960795+00:00","41","r-scylla1","4.02%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:25:47.0960795+00:00","41","r-scylla2","5.07%","546.9MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:47.0960795+00:00","41","r-scylla3","4.61%","547.8MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:50.3910042+00:00","42","r-scylla1","4.41%","561.6MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:25:50.3910042+00:00","42","r-scylla2","3.99%","546.4MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:50.3910042+00:00","42","r-scylla3","4.13%","547.8MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:53.4073464+00:00","43","r-scylla1","3.07%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:25:53.4073464+00:00","43","r-scylla2","3.79%","546.7MiB / 9.711GiB","155MB / 119MB","304MB / 1.08GB"
"2026-09-17T20:25:53.4073464+00:00","43","r-scylla3","4.17%","547.8MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:56.6248008+00:00","44","r-scylla1","4.28%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:25:56.6248008+00:00","44","r-scylla2","4.49%","546.7MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:25:56.6248008+00:00","44","r-scylla3","3.78%","547.6MiB / 9.711GiB","155MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:25:59.9142202+00:00","45","r-scylla1","2.97%","562.1MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:25:59.9142202+00:00","45","r-scylla2","3.81%","547.2MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:25:59.9142202+00:00","45","r-scylla3","3.22%","547.6MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:03.1748173+00:00","46","r-scylla1","4.77%","561.1MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:03.1748173+00:00","46","r-scylla2","2.60%","546.7MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:03.1748173+00:00","46","r-scylla3","2.47%","547.6MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:06.4046771+00:00","47","r-scylla1","2.94%","561.1MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:06.4046771+00:00","47","r-scylla2","3.09%","546.7MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:06.4046771+00:00","47","r-scylla3","3.65%","547.6MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:09.6485856+00:00","48","r-scylla1","2.56%","561.1MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:09.6485856+00:00","48","r-scylla2","3.14%","546.9MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:09.6485856+00:00","48","r-scylla3","2.77%","547.6MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:12.8987626+00:00","49","r-scylla1","3.56%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:12.8987626+00:00","49","r-scylla2","3.95%","546.7MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:12.8987626+00:00","49","r-scylla3","4.13%","547.8MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:16.1234133+00:00","50","r-scylla1","3.08%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:16.1234133+00:00","50","r-scylla2","2.92%","546.7MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:16.1234133+00:00","50","r-scylla3","3.01%","547.6MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:19.3670220+00:00","51","r-scylla1","3.04%","561.1MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:19.3670220+00:00","51","r-scylla2","3.11%","546.4MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:19.3670220+00:00","51","r-scylla3","3.03%","547.6MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:22.5915901+00:00","52","r-scylla1","4.20%","561.9MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:22.5915901+00:00","52","r-scylla2","4.31%","546.4MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:22.5915901+00:00","52","r-scylla3","3.47%","547.9MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:25.8525958+00:00","53","r-scylla1","3.14%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:25.8525958+00:00","53","r-scylla2","3.86%","546.5MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:25.8525958+00:00","53","r-scylla3","3.59%","547.6MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:29.0843780+00:00","54","r-scylla1","4.15%","561.6MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:29.0843780+00:00","54","r-scylla2","3.42%","546.4MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:29.0843780+00:00","54","r-scylla3","4.12%","547.9MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:32.3987431+00:00","55","r-scylla1","4.14%","561.9MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:32.3987431+00:00","55","r-scylla2","5.55%","546.5MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:32.3987431+00:00","55","r-scylla3","5.47%","547.9MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:35.6726694+00:00","56","r-scylla1","3.37%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:35.6726694+00:00","56","r-scylla2","3.22%","546.4MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:35.6726694+00:00","56","r-scylla3","3.87%","548.1MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:38.9378881+00:00","57","r-scylla1","3.14%","561.1MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:38.9378881+00:00","57","r-scylla2","3.38%","546.4MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:38.9378881+00:00","57","r-scylla3","3.44%","548.1MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:42.2022202+00:00","58","r-scylla1","4.69%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:42.2022202+00:00","58","r-scylla2","3.71%","546.4MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:42.2022202+00:00","58","r-scylla3","4.26%","547.9MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:45.4886681+00:00","59","r-scylla1","2.97%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:45.4886681+00:00","59","r-scylla2","2.61%","546.9MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:45.4886681+00:00","59","r-scylla3","2.34%","547.6MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:48.7176906+00:00","60","r-scylla1","2.89%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:48.7176906+00:00","60","r-scylla2","2.88%","546.4MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:48.7176906+00:00","60","r-scylla3","4.35%","548.1MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:51.9451735+00:00","61","r-scylla1","3.41%","561.4MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:51.9451735+00:00","61","r-scylla2","3.40%","546.4MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:51.9451735+00:00","61","r-scylla3","3.41%","547.9MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:55.0055640+00:00","62","r-scylla1","2.93%","561.1MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:55.0055640+00:00","62","r-scylla2","4.29%","546.4MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:55.0055640+00:00","62","r-scylla3","2.96%","547.9MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
"2026-09-17T20:26:58.2332277+00:00","63","r-scylla1","9.25%","561.3MiB / 9.711GiB","155MB / 121MB","354MB / 1.08GB"
"2026-09-17T20:26:58.2332277+00:00","63","r-scylla2","8.89%","546.6MiB / 9.711GiB","155MB / 120MB","304MB / 1.08GB"
"2026-09-17T20:26:58.2332277+00:00","63","r-scylla3","5.12%","547.7MiB / 9.711GiB","156MB / 120MB","305MB / 1.08GB"
