"timestamp_utc","sample_end_utc","sample","node","node_count","cpu_percent","memory_usage","network_io","block_io","vm_mem_available_kib"
"2026-09-21T11:51:05.2864217+00:00","2026-09-21T11:51:07.3262109+00:00","19","r-scylla1","4","3.20%","156.2MiB / 9.711GiB","13.5MB / 46.3MB","42.9MB / 625MB","8772056"
"2026-09-21T11:51:05.2864217+00:00","2026-09-21T11:51:07.3262109+00:00","19","r-scylla2","4","3.54%","138.3MiB / 9.711GiB","13.3MB / 43.8MB","16.2MB / 625MB","8772056"
"2026-09-21T11:51:05.2864217+00:00","2026-09-21T11:51:07.3262109+00:00","19","r-scylla3","4","3.61%","137.6MiB / 9.711GiB","15MB / 43.7MB","17.1MB / 626MB","8772056"
"2026-09-21T11:51:05.2864217+00:00","2026-09-21T11:51:07.3262109+00:00","19","r-scylla4","4","3.45%","140.5MiB / 9.711GiB","13.5MB / 43.9MB","18MB / 624MB","8772056"
"2026-09-21T11:51:08.3291749+00:00","2026-09-21T11:51:10.5955993+00:00","20","r-scylla1","4","2.77%","156.2MiB / 9.711GiB","13.6MB / 47.5MB","42.9MB / 625MB","8769360"
"2026-09-21T11:51:08.3291749+00:00","2026-09-21T11:51:10.5955993+00:00","20","r-scylla2","4","2.71%","138.6MiB / 9.711GiB","13.4MB / 45MB","16.2MB / 625MB","8769360"
"2026-09-21T11:51:08.3291749+00:00","2026-09-21T11:51:10.5955993+00:00","20","r-scylla3","4","3.41%","137.8MiB / 9.711GiB","15MB / 44.4MB","17.1MB / 626MB","8769360"
"2026-09-21T11:51:08.3291749+00:00","2026-09-21T11:51:10.5955993+00:00","20","r-scylla4","4","3.12%","140.3MiB / 9.711GiB","13.5MB / 45MB","18MB / 624MB","8769360"
"2026-09-21T11:51:11.6050815+00:00","2026-09-21T11:51:13.9339000+00:00","21","r-scylla1","4","3.45%","155.9MiB / 9.711GiB","13.6MB / 49.1MB","42.9MB / 625MB","8766512"
"2026-09-21T11:51:11.6050815+00:00","2026-09-21T11:51:13.9339000+00:00","21","r-scylla2","4","3.17%","138.6MiB / 9.711GiB","13.4MB / 46.5MB","16.2MB / 625MB","8766512"
"2026-09-21T11:51:11.6050815+00:00","2026-09-21T11:51:13.9339000+00:00","21","r-scylla3","4","3.13%","138.1MiB / 9.711GiB","15.1MB / 46.4MB","17.1MB / 626MB","8766512"
"2026-09-21T11:51:11.6050815+00:00","2026-09-21T11:51:13.9339000+00:00","21","r-scylla4","4","4.65%","140.3MiB / 9.711GiB","13.5MB / 46.2MB","18MB / 624MB","8766512"
"2026-09-21T11:51:14.9429784+00:00","2026-09-21T11:51:16.9532820+00:00","22","r-scylla1","4","2.66%","155.9MiB / 9.711GiB","13.6MB / 50.3MB","42.9MB / 625MB","8764476"
"2026-09-21T11:51:14.9429784+00:00","2026-09-21T11:51:16.9532820+00:00","22","r-scylla2","4","2.91%","138.4MiB / 9.711GiB","13.4MB / 47.7MB","16.2MB / 625MB","8764476"
"2026-09-21T11:51:14.9429784+00:00","2026-09-21T11:51:16.9532820+00:00","22","r-scylla3","4","3.36%","137.8MiB / 9.711GiB","15.2MB / 47.5MB","17.1MB / 626MB","8764476"
"2026-09-21T11:51:14.9429784+00:00","2026-09-21T11:51:16.9532820+00:00","22","r-scylla4","4","3.15%","140.3MiB / 9.711GiB","13.6MB / 47.7MB","18MB / 624MB","8764476"
"2026-09-21T11:51:17.9618753+00:00","2026-09-21T11:51:20.2390283+00:00","23","r-scylla1","4","2.24%","156.2MiB / 9.711GiB","13.7MB / 51.1MB","42.9MB / 625MB","8763708"
"2026-09-21T11:51:17.9618753+00:00","2026-09-21T11:51:20.2390283+00:00","23","r-scylla2","4","2.43%","138.1MiB / 9.711GiB","13.5MB / 48.9MB","16.2MB / 625MB","8763708"
"2026-09-21T11:51:17.9618753+00:00","2026-09-21T11:51:20.2390283+00:00","23","r-scylla3","4","2.02%","137.6MiB / 9.711GiB","15.2MB / 48.7MB","17.1MB / 626MB","8763708"
"2026-09-21T11:51:17.9618753+00:00","2026-09-21T11:51:20.2390283+00:00","23","r-scylla4","4","2.18%","140.5MiB / 9.711GiB","13.6MB / 48.9MB","18MB / 624MB","8763708"
"2026-09-21T11:51:21.2502066+00:00","2026-09-21T11:51:23.6073981+00:00","24","r-scylla1","4","2.25%","155.9MiB / 9.711GiB","13.7MB / 52.7MB","42.9MB / 625MB","8762628"
"2026-09-21T11:51:21.2502066+00:00","2026-09-21T11:51:23.6073981+00:00","24","r-scylla2","4","2.43%","138.4MiB / 9.711GiB","13.5MB / 49.6MB","16.2MB / 625MB","8762628"
"2026-09-21T11:51:21.2502066+00:00","2026-09-21T11:51:23.6073981+00:00","24","r-scylla3","4","1.93%","137.8MiB / 9.711GiB","15.3MB / 49.8MB","17.1MB / 626MB","8762628"
"2026-09-21T11:51:21.2502066+00:00","2026-09-21T11:51:23.6073981+00:00","24","r-scylla4","4","3.03%","140.3MiB / 9.711GiB","13.6MB / 49.7MB","18MB / 624MB","8762628"
"2026-09-21T11:51:24.6198142+00:00","2026-09-21T11:51:26.8615681+00:00","25","r-scylla1","4","4.08%","155.9MiB / 9.711GiB","13.7MB / 54.3MB","42.9MB / 625MB","8759356"
"2026-09-21T11:51:24.6198142+00:00","2026-09-21T11:51:26.8615681+00:00","25","r-scylla2","4","3.54%","138.3MiB / 9.711GiB","13.5MB / 51.2MB","16.2MB / 625MB","8759356"
"2026-09-21T11:51:24.6198142+00:00","2026-09-21T11:51:26.8615681+00:00","25","r-scylla3","4","3.41%","137.8MiB / 9.711GiB","15.3MB / 51MB","17.1MB / 626MB","8759356"
"2026-09-21T11:51:24.6198142+00:00","2026-09-21T11:51:26.8615681+00:00","25","r-scylla4","4","3.59%","140.3MiB / 9.711GiB","13.7MB / 51.2MB","18MB / 624MB","8759356"
"2026-09-21T11:51:27.8689447+00:00","2026-09-21T11:51:30.2019949+00:00","26","r-scylla1","4","3.51%","156MiB / 9.711GiB","13.8MB / 55.1MB","42.9MB / 625MB","8754312"
"2026-09-21T11:51:27.8689447+00:00","2026-09-21T11:51:30.2019949+00:00","26","r-scylla2","4","1.96%","138.3MiB / 9.711GiB","13.6MB / 52.7MB","16.2MB / 625MB","8754312"
"2026-09-21T11:51:27.8689447+00:00","2026-09-21T11:51:30.2019949+00:00","26","r-scylla3","4","1.78%","137.6MiB / 9.711GiB","15.4MB / 52.5MB","17.1MB / 626MB","8754312"
"2026-09-21T11:51:27.8689447+00:00","2026-09-21T11:51:30.2019949+00:00","26","r-scylla4","4","4.07%","140.8MiB / 9.711GiB","13.7MB / 52.4MB","18MB / 624MB","8754312"
"2026-09-21T11:51:31.2087430+00:00","2026-09-21T11:51:33.5684807+00:00","27","r-scylla1","4","10.38%","156.8MiB / 9.711GiB","13.8MB / 56.8MB","43.4MB / 694MB","8749948"
"2026-09-21T11:51:31.2087430+00:00","2026-09-21T11:51:33.5684807+00:00","27","r-scylla2","4","9.54%","138.5MiB / 9.711GiB","13.6MB / 53.9MB","16.2MB / 687MB","8749948"
"2026-09-21T11:51:31.2087430+00:00","2026-09-21T11:51:33.5684807+00:00","27","r-scylla3","4","9.54%","138.4MiB / 9.711GiB","15.5MB / 53.4MB","17.1MB / 688MB","8749948"
"2026-09-21T11:51:31.2087430+00:00","2026-09-21T11:51:33.5684807+00:00","27","r-scylla4","4","11.61%","149.4MiB / 9.711GiB","13.8MB / 53.2MB","18MB / 674MB","8749948"
"2026-09-21T11:51:34.5764255+00:00","2026-09-21T11:51:36.8287531+00:00","28","r-scylla1","4","59.38%","157.7MiB / 9.711GiB","14.9MB / 59.4MB","44.9MB / 764MB","8746368"
"2026-09-21T11:51:34.5764255+00:00","2026-09-21T11:51:36.8287531+00:00","28","r-scylla2","4","68.88%","140.1MiB / 9.711GiB","15.5MB / 56.7MB","19MB / 766MB","8746368"
"2026-09-21T11:51:34.5764255+00:00","2026-09-21T11:51:36.8287531+00:00","28","r-scylla3","4","60.53%","139.9MiB / 9.711GiB","17.3MB / 55.3MB","18.5MB / 767MB","8746368"
"2026-09-21T11:51:34.5764255+00:00","2026-09-21T11:51:36.8287531+00:00","28","r-scylla4","4","51.77%","149.9MiB / 9.711GiB","14.1MB / 56.6MB","19.7MB / 762MB","8746368"
"2026-09-21T11:51:37.8367721+00:00","2026-09-21T11:51:40.1757323+00:00","29","r-scylla1","4","54.90%","159.5MiB / 9.711GiB","16.5MB / 63.1MB","47.3MB / 775MB","8739540"
"2026-09-21T11:51:37.8367721+00:00","2026-09-21T11:51:40.1757323+00:00","29","r-scylla2","4","63.27%","140.6MiB / 9.711GiB","19.2MB / 60MB","24.2MB / 780MB","8739540"
"2026-09-21T11:51:37.8367721+00:00","2026-09-21T11:51:40.1757323+00:00","29","r-scylla3","4","54.01%","141MiB / 9.711GiB","19.5MB / 57.7MB","21.9MB / 778MB","8739540"
